Park Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,2019,Average
Capitol Reef NP,"662,661","668,834","673,345","663,670","786,514","941,029","1,064,904","1,150,165","1,227,627",,,"1,226,519","906,527"
Capulin Volcano NM,"48,580","46,358","48,710","48,466","50,892","55,506","60,132","59,615","67,411",,,"81,617","56,729"
Carl Sandburg Home NHS,"86,740","89,721","93,429","81,710","82,377","72,606","80,696","72,777","72,047",,,"78,144","81,025"
Carlsbad Caverns NP,"428,524","365,000","381,058","388,566","397,309","445,720","466,773","520,026","465,912",,,"440,691","429,958"
Carter G. Woodson Home NHS,,,,,,,,"1,884","1,954",,,"2,381","2,073"
Casa Grande Ruins NM,"77,347","72,308","68,631","65,106","63,698","72,606","75,752","75,583","62,995",,,"68,379","70,241"
Castillo de San Marcos NM,"708,549","741,042","727,243","778,128","760,708","819,154","854,664","876,975","748,058",,,"673,395","768,792"
Castle Clinton NM,"4,126,378","3,985,366","3,264,439","2,180,694","4,727,110","4,597,029","4,812,930","4,737,113","4,533,564",,,"4,361,034","4,132,566"
Catoctin Mountain Park,"385,745","264,460","263,797","175,213","188,170","229,301","221,750","236,243","299,860",,,"296,846","256,139"
Cedar Breaks NM,"525,831","493,147","631,809","466,450","762,907","793,601","899,676","909,199","644,515",,,"579,861","670,700"
Cesar E. Chavez NM,,,,"8,157","8,854","10,648","17,216","15,472","12,769",,,"16,490","12,801"
Chaco Culture NHP,"34,226","39,175","39,044","29,917","38,386","38,914","54,084","55,334","57,781",,,"47,342","43,420"
Chamizal NMEM,"226,535","113,817","104,148","121,937","108,399","122,431","147,937","86,400","66,479",,,"38,228","113,631"
Channel Islands NP,"277,515","242,756","249,594","212,029","342,161","324,816","364,807","383,687","366,250",,,"409,630","317,325"
Charles Pinckney NHS,"44,081","45,254","44,314","47,309","53,486","46,995","53,184","53,744","34,354",,,"35,495","45,822"
Charles Young Buffalo Soldiers NM,,,,,,"3,993","10,211","12,405","31,448",,,"14,106","14,433"
Chattahoochee River NRA,"3,011,393","3,161,297","3,168,137","3,039,892","3,119,160","3,173,204","2,736,385","2,768,499","2,873,866",,,"3,393,133","3,044,497"
Chesapeake & Ohio Canal NHP,"4,111,238","3,937,504","4,712,377","4,941,367","5,066,219","4,798,312","4,813,078","4,859,573","4,438,818",,,"5,116,787","4,679,527"
Chickamauga & Chattanooga NMP,"991,901","1,036,699","1,032,844","905,984","996,694","1,002,373","1,027,738","994,537","945,962",,,"977,158","991,189"
Chickasaw NRA,"1,253,637","1,212,139","1,487,039","1,099,669","1,152,083","1,254,105","1,676,421","1,533,684","1,477,906",,,"1,422,612","1,356,930"
Chiricahua NM,"55,436","37,037","41,159","40,646","45,125","56,960","51,277","63,132","60,577",,,"60,655","51,200"
Christiansted NHS,"117,214","119,335","126,962","118,638","109,159","116,817","115,446","96,779","107,494",,,"103,594","113,144"
City of Rocks NRES,"92,484","95,764","98,996","94,906","94,825","105,289","107,865","130,276","142,250",,,"99,311","106,197"
Clara Barton NHS,"23,741","15,620","25,347","22,737","20,028","2,823",0,0,425,,,"4,100","11,482"
Colonial NHP,"3,459,965","3,414,577","3,274,187","3,168,731","3,335,060","3,343,909","3,352,656","3,333,448","3,294,224",,,"3,327,268","3,330,403"
Colorado NM,"433,561","435,460","454,510","409,351","416,862","588,006","391,075","375,035","375,467",,,"397,032","427,636"
Congaree NP,"121,208","120,166","109,685","120,340","120,122","87,513","143,843","159,595","145,929",,,"159,445","128,785"
Coronado NMEM,"136,284","153,042","97,579","92,936","118,838","132,584","136,075","131,614","103,218",,,"130,328","123,250"
Cowpens NB,"226,868","223,923","231,973","216,239","200,836","206,740","213,299","212,692","189,410",,,"223,413","214,539"
Crater Lake NP,"448,319","423,551","447,251","523,027","535,508","614,712","756,344","711,749","720,659",,,"704,512","588,563"
Craters of the Moon NM & PRES,"215,698","198,545","197,529","200,525","214,993","246,826","255,436","285,227","263,506",,,"272,224","235,051"
Cumberland Gap NHP,"918,746","828,947","853,998","768,363","879,934","840,601","820,387","737,547","684,191",,,"704,598","803,731"
Cumberland Island NS,"91,996","74,279","61,493","51,435","61,401","59,859","61,896","51,937","55,650",,,"53,904","62,385"
Curecanti NRA,"969,549","924,468","862,612","814,163","931,367","944,742","982,498","1,041,446","931,512",,,"836,034","923,839"
Cuyahoga Valley NP,"2,492,670","2,161,185","2,299,722","2,103,010","2,189,849","2,284,612","2,423,390","2,226,879","2,096,053",,,"2,237,997","2,251,537"
Dayton Aviation Heritage NHP,"63,961","68,048","65,999","59,274","57,565","73,588","95,334","99,700","93,541",,,"94,709","77,172"
De Soto NMEM,"265,406","355,653","432,981","279,924","342,039","293,647","232,463","233,354","210,993",,,"187,880","283,434"
Death Valley NP,"984,775","946,867","984,568","951,972","1,101,312","1,154,843","1,296,283","1,294,827","1,678,660",,,"1,740,945","1,213,505"
Delaware Water Gap NRA,"5,285,761","4,986,700","4,970,802","4,843,350","4,041,672","3,735,134","3,677,744","3,400,944","3,261,921",,,"3,374,865","4,157,889"
Denali NP & PRES,"378,855","406,582","388,433","530,922","531,315","560,757","587,412","642,809","594,660",,,"601,152","522,290"
Devils Postpile NM,"80,349","97,207","87,845","91,794","114,414","140,313","135,404","109,571","139,724",,,"147,864","114,449"
Devils Tower NM,"436,200","395,203","416,994","417,326","440,875","478,833","496,210","499,031","468,216",,,"450,785","449,967"
Dinosaur NM,"197,812","213,559","302,858","274,361","250,625","291,799","304,312","315,859","304,468",,,"298,965","275,462"
Dry Tortugas NP,"53,890","75,171","60,550","58,401","64,865","70,862","73,661","54,281","56,810",,,"79,200","64,769"
Edgar Allan Poe NHS,"16,584","14,711","19,104","5,884","13,701","13,862","14,827","14,878","16,314",,,"15,527","14,539"
Effigy Mounds NM,"79,783","82,581","78,540","71,074","77,812","81,901","77,195","67,006","55,576",,,"65,581","73,705"
Eisenhower NHS,"61,210","58,022","53,286","59,179","58,240","54,377","55,550","50,597","42,036",,,"47,277","53,977"
El Malpais NM,"134,662","105,356","114,678","137,904","164,063","174,433","157,440","161,526","154,368",,,"158,924","146,335"
El Morro NM,"52,566","48,332","44,808","40,051","46,256","49,390","59,422","59,013","65,453",,,"68,867","53,416"
Eleanor Roosevelt NHS,"53,067","50,074","55,049","43,686","60,456","64,791","63,480","67,621","54,649",,,"47,630","56,050"
Eugene O'Neill NHS,"2,445","2,593","2,789","2,929","3,202","3,942","4,287","3,931","3,432",,,"2,944","3,249"
Everglades NP,"915,538","934,351","1,141,906","1,047,116","1,110,901","1,077,427","930,907","1,018,557","597,124",,,"1,118,300","989,213"
Federal Hall NMEM,"178,749","187,109","167,146","148,647","137,538","172,038","314,531","325,497","230,634",,,"264,849","212,674"
Fire Island NS,"613,057","519,173","483,334","294,219","384,343","441,899","431,303","456,392","305,710",,,"391,311","432,074"
First Ladies NHS,"8,766","8,254","9,903","10,068","15,326","12,897","13,378","13,085","11,447",,,"10,913","11,404"
Flight 93 NMEM,"137,837","265,246","317,926","265,924","284,226","337,217","385,123","364,082","381,448",,,"411,226","315,026"
Florissant Fossil Beds NM,"65,422","61,289","62,637","58,032","63,297","69,130","73,564","71,763","79,568",,,"77,340","68,204"
Ford's Theatre NHS,"662,298","642,786","701,542","665,876","655,441","681,537","650,779","744,266","533,410",,,"572,373","651,031"
Fort Bowie NHS,"9,491","8,429","7,966","8,082","6,964","7,760","8,013","8,491","8,401",,,"7,577","8,117"
Fort Caroline NMEM,"299,906","326,149","327,339","307,086","187,843","224,418","232,082","243,960","203,276",,,"187,658","253,972"
Fort Davis NHS,"43,280","35,130","38,136","43,277","49,842","55,955","61,823","60,910","49,532",,,"51,995","48,988"
Fort Donelson NB,"202,210","257,389","284,762","247,734","262,317","260,744","259,343","208,816","168,986",,,"254,431","240,673"
Fort Frederica NM,"294,484","293,041","262,235","217,580","228,103","202,191","192,906","188,089","183,591",,,"212,330","227,455"
Fort Laramie NHS,"57,128","52,916","55,199","54,057","49,038","51,616","57,444","61,513","52,414",,,"42,892","53,422"
Fort Larned NHS,"29,423","26,704","33,194","27,432","24,607","32,170","31,060","29,188","29,173",,,"26,958","28,991"
Fort Matanzas NM,"673,700","570,695","497,574","523,694","568,529","622,175","557,810","578,981","608,103",,,"593,788","579,505"
Fort McHenry NM & HS,"611,582","641,254","744,076","678,431","769,300","617,890","610,987","591,861","486,113",,,"419,545","617,104"
Fort Necessity NB,"264,450","193,479","187,893","165,159","219,546","280,705","290,021","294,145","280,970",,,"312,104","248,847"
Fort Point NHS,"1,315,241","1,338,508","1,502,786","1,591,312","1,677,457","1,610,466","2,264,154","1,532,541","1,400,491",,,"1,421,349","1,565,431"
Fort Pulaski NM,"416,292","408,104","385,751","374,408","387,010","382,945","344,921","360,591","419,930",,,"374,290","385,424"
Fort Raleigh NHS,"305,711","282,134","281,833","263,598","264,987","289,885","292,367","274,981","261,198",,,"248,139","276,483"
Fort Scott NHS,"27,635","26,219","25,034","25,773","25,966","25,531","29,291","28,948","26,482",,,"24,068","26,495"
Fort Smith NHS,"68,678","86,122","87,386","69,584","88,790","111,469","163,636","141,914","136,568",,,"125,500","107,965"
Fort Stanwix NM,"103,748","102,874","195,057","129,089","60,819","86,678","94,006","106,936","90,507",,,"97,412","106,713"
Fort Sumter and Fort Moultrie NHP,"797,713","857,883","842,027","815,007","828,521","840,711","888,330","896,569","859,880",,,"877,894","850,454"
Fort Union NM,"10,638","9,575","9,215","8,965","10,934","11,726","11,953","11,676","10,860",,,"11,063","10,661"
Fort Union Trading Post NHS,"14,458","12,236","12,677","12,908","11,521","13,605","17,502","13,329","13,551",,,"12,967","13,475"
Fort Vancouver NHS,"786,989","710,439","681,404","733,540","803,740","818,672","1,092,031","1,081,489","1,098,553",,,"1,018,214","882,507"
Fort Washington Park,"352,883","409,381","368,824","443,918","466,078","337,433","560,358","317,470","316,052",,,"423,868","399,627"
Fossil Butte NM,"19,700","16,552","17,084","17,662","16,623","19,293","20,737","21,978","21,349",,,"20,554","19,153"
Franklin Delano Roosevelt MEM,"2,238,052","2,309,708","2,764,459","2,837,729","2,938,239","3,290,080","4,360,502","3,507,402","3,288,299",,,"3,303,573","3,083,804"
Frederick Douglass NHS,"44,699","46,694","53,314","47,625","45,492","53,873","67,387","76,569","70,869",,,"61,063","56,759"
Frederick Law Olmsted NHS,"3,285","4,022","8,668","6,570","8,667","9,473","8,935","11,388","9,854",,,"7,791","7,865"
Fredericksburg & Spotsylvania NMP,"899,936","908,836","982,324","880,251","873,328","891,917","969,895","919,311","926,464",,,"906,800","915,906"
Friendship Hill NHS,"32,562","30,039","34,289","34,372","34,317","34,687","37,847","39,377","41,678",,,"34,159","35,333"
Gates of the Arctic NP & PRES,"10,840","11,623","10,899","11,012","12,669","10,745","10,047","11,177","9,591",,,"10,518","10,912"
Gateway Arch NP,"2,436,110","2,259,020","2,496,726","2,377,258","1,817,091","1,698,656","1,271,855","1,398,188","2,016,180",,,"2,055,309","1,982,639"
Gateway NRA,"8,820,757","7,697,727","5,043,863","6,191,246","6,021,713","6,392,565","8,651,770","9,190,610","9,243,305",,,"9,405,622","7,665,918"
Gauley River NRA,"107,223","109,780","115,283","135,309","117,354","105,374","115,888","118,733","97,778",,,"119,282","114,200"
General Grant NMEM,"119,665","104,769","92,418","83,440","100,622","95,526","109,151","97,005","73,336",,,"113,852","98,978"
George Rogers Clark NHP,"118,912","145,596","125,972","128,531","125,218","135,856","126,095","117,268","121,187",,,"140,130","128,477"
George Washington Birthplace NM,"128,158","130,647","134,824","131,683","131,984","130,952","129,750","122,457","111,058",,,"139,666","129,118"
George Washington Carver NM,"35,068","30,787","30,425","33,061","41,535","37,745","46,397","46,466","44,411",,,"49,553","39,545"
George Washington MEM PKWY,"6,925,099","7,417,397","7,425,577","7,360,392","7,472,150","7,286,463","10,323,339","7,562,793","7,288,623",,,"7,487,265","7,654,910"
Gettysburg NMP,"1,031,554","1,124,659","1,126,577","1,213,349","1,020,702","1,080,185","1,091,320","1,038,649","949,989",,,"925,117","1,060,210"
Gila Cliff Dwellings NM,"32,652","25,317","28,637","27,825","31,135","36,518","41,519","78,872","79,108",,,"66,614","44,820"
Glacier Bay NP & PRES,"444,530","431,986","454,337","500,590","500,727","551,353","520,171","547,057","597,915",,,"672,087","522,075"
Glacier NP,"2,200,048","1,853,564","2,162,035","2,190,374","2,338,528","2,366,056","2,946,681","3,305,512","2,965,309",,,"3,049,839","2,537,795"
Glen Canyon NRA,"2,124,467","2,270,817","2,061,328","1,991,924","2,368,452","2,495,093","3,239,525","4,574,940","4,219,441",,,"4,330,563","2,967,655"
Golden Gate NRA,"14,271,503","14,567,487","14,540,338","14,289,121","15,004,420","14,888,537","15,638,777","14,981,897","15,223,697",,,"15,002,227","14,840,800"
Golden Spike NHP,"43,561","43,933","42,551","40,704","44,125","59,147","60,027","67,811","60,130",,,"108,154","57,014"
