Park Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,2019,Average
Lake Clark NP & PRES,"9,931","5,158","11,639","13,000","16,100","17,818","21,102","22,755","14,479",,,"17,157","14,914"
Lake Mead NRA,"7,080,758","6,396,682","6,285,439","6,344,714","6,942,873","7,298,465","7,175,891","7,882,339","7,578,958",,,"7,499,049","7,048,517"
Lake Meredith NRA,"883,586","734,030","502,457","554,272","692,195","831,374","1,025,613","1,329,076","1,106,233",,,"1,328,340","898,718"
Lake Roosevelt NRA,"1,324,074","1,523,474","1,781,972","1,254,409","1,180,898","1,170,843","1,253,571","1,304,403","1,276,722",,,"1,358,818","1,342,918"
Lassen Volcanic NP,"384,570","351,269","407,653","427,409","432,977","468,092","536,068","507,256","499,435",,,"517,039","453,177"
Lava Beds NM,"130,765","124,113","181,429","105,395","138,499","108,687","127,699","135,286","127,771",,,"109,630","128,927"
LBJ Memorial Grove on the Potomac,"230,694","239,058","371,063","294,979","254,167","232,882","260,234","277,403","261,225",,,"244,246","266,595"
Lewis & Clark NHP,"218,553","191,867","201,704","217,022","244,921","270,410","281,576","293,356","286,349",,,"270,993","247,675"
Lincoln Boyhood NMEM,"126,228","108,420","133,550","125,069","99,795","111,711","125,562","143,651","133,850",,,"138,714","124,655"
Lincoln Home NHS,"354,125","296,214","295,464","209,405","218,132","233,299","239,719","232,265","197,717",,,"197,816","247,416"
Lincoln Memorial,"6,042,315","5,971,220","6,191,361","6,546,518","7,139,072","7,941,771","7,915,934","7,956,117","7,804,683",,,"7,808,182","7,131,717"
Little Bighorn Battlefield NM,"320,959","312,168","346,327","277,883","281,436","317,782","332,328","296,128","272,591",,,"241,304","299,891"
Little River Canyon NPRES,"192,576","225,549","201,109","185,477","224,931","248,135","462,700","367,058","441,177",,,"649,986","319,870"
Little Rock Central High School NHS,"49,740","66,106","63,938","114,144","115,908","125,956","129,540","170,413","149,098",,,"168,918","115,376"
Longfellow House Washington's HQ NHS,"45,684","46,596","52,234","40,554","46,371","50,784","49,697","51,606","60,527",,,"55,012","49,907"
Lowell NHP,"540,475","520,452","537,551","517,763","514,524","531,055","541,825","562,498","507,276",,,"481,536","525,496"
Lyndon B. Johnson NHP,"112,680","100,056","110,791","82,369","88,427","124,979","140,303","146,119","121,499",,,"111,972","113,920"
Maggie L. Walker NHS,"12,331","10,779","8,276","7,013","9,045","7,589","9,589","10,738","10,961",,,"9,602","9,592"
Mammoth Cave NP,"497,225","483,319","508,054","494,541","522,628","566,895","586,514","587,853","533,206",,,"551,590","533,183"
Manassas NBP,"612,490","659,740","600,354","538,888","514,140","502,045","534,835","605,577","542,004",,,"510,427","562,050"
Manhattan Project NHP,,,,,,,"104,715","89,599","69,543",,,"79,870","85,932"
Manzanar NHS,"76,592","79,587","72,831","77,511","77,633","95,327","105,307","114,461","104,081",,,"97,380","90,071"
Marsh-Billings-Rockefeller NHP,"31,209","29,049","32,403","34,112","39,086","35,003","55,716","46,523","63,886",,,"45,979","41,297"
"Martin Luther King, Jr. Memorial",,"1,490,358","3,738,336","3,205,654","3,199,136","3,530,401","3,638,208","3,651,093","3,567,434",,,"3,667,562","3,298,687"
"Martin Luther King, Jr. NHP","658,452","666,482","707,514","704,168","766,030","673,728","467,715","584,435","641,801",,,"761,650","663,198"
Martin Van Buren NHS,"21,055","19,287","22,062","16,229","19,187","18,547","22,100","22,023","18,642",,,"20,623","19,976"
Mary McLeod Bethune Council House NHS,"19,520","18,142","6,646","5,686","9,295","8,249","7,149",277,109,,,"3,788","7,886"
Mesa Verde NP,"559,712","572,329","488,860","460,237","501,563","547,325","583,527","613,788","563,420",,,"556,203","544,696"
Minidoka NHS,,,,,,,,"11,622","11,567",,,"13,647","12,279"
Minute Man NHP,"1,073,748","1,002,833","1,001,207","947,894","1,056,549","964,330","1,049,414","1,023,921","1,014,803",,,"1,017,326","1,015,203"
Minuteman Missile NHS,"42,348","59,389","75,654","76,261","62,058","100,488","133,895","143,715","139,273",,,"125,776","95,886"
Mississippi NRRA,,"99,398","106,733","100,111","85,637","127,635","256,944","436,734","417,022",,,"374,682","222,766"
Missouri NRR,"167,301","179,983","167,776","169,698","134,760","145,004","148,210","119,816","128,657",,,"129,280","149,049"
Mojave NPRES,"600,897","536,006","542,527","549,599","554,560","589,155","585,635","716,604","787,404",,,"841,516","630,390"
Monocacy NB,"33,313","36,674","47,249","37,647","56,187","64,596","87,547","113,820","84,901",,,"144,969","70,690"
Montezuma Castle NM,"578,554","573,731","455,305","389,091","407,017","416,635","392,168","398,174","390,151",,,"376,254","437,708"
Moores Creek NB,"51,326","58,118","79,345","72,330","87,774","89,944","83,889","86,747","58,531",,,"77,006","74,501"
Morristown NHP,"278,392","222,395","294,606","304,941","264,363","218,959","252,514","268,295","279,393",,,"271,330","265,519"
Mount Rainier NP,"1,191,754","1,038,229","1,049,178","1,148,552","1,264,259","1,237,231","1,356,913","1,415,867","1,518,491",,,"1,501,621","1,272,210"
Mount Rushmore NMEM,"2,331,237","2,081,722","2,185,447","2,162,998","2,144,808","2,434,297","2,431,231","2,437,800","2,311,273",,,"1,963,540","2,248,435"
Muir Woods NM,"834,356","897,131","972,331","954,125","1,049,400","1,099,923","1,123,121","1,062,099","957,932",,,"812,073","976,249"
Natchez NHP,"206,870","206,624","184,551","191,095","215,257","204,332","204,120","233,339","234,786",,,"182,123","206,310"
Natchez Trace PKWY,"5,910,950","5,765,343","5,560,668","6,012,740","5,846,474","5,785,812","5,891,315","6,326,062","6,362,439",,,"6,296,041","5,975,784"
National Capital Parks Central,"1,363,389","1,240,717","858,700","1,712,858","1,999,232","1,833,085","1,813,222","1,932,762","1,800,329",,,"1,770,794","1,632,509"
National Capital Parks East,"1,181,960","1,167,393","923,054","1,091,661","1,311,995","1,220,403","1,224,671","1,366,142","1,447,273",,,"1,210,641","1,214,519"
National Park of American Samoa,"3,006","8,716","10,440","17,919","13,953","13,892","28,892","69,468","28,626",,,"60,006","25,492"
Natural Bridges NM,"95,676","91,184","89,011","82,330","87,119","94,797","101,843","107,443","103,118",,,"88,090","94,061"
Navajo NM,"90,696","87,388","58,219","54,168","65,778","71,370","65,705","68,785","61,195",,,"49,983","67,329"
New Bedford Whaling NHP,"277,681","273,862","269,885","276,374","272,731","167,790","145,500","166,894","186,937",,,"143,427","218,108"
New Orleans Jazz NHP,"80,195","130,393","177,909","198,363","36,017","58,188","35,514","40,814","54,483",,,"41,049","85,293"
New River Gorge NR,"1,151,213","1,071,088","1,128,195","1,071,823","1,124,799","1,178,753","1,197,931","1,168,658","1,232,627",,,"1,195,721","1,152,081"
Nez Perce NHP,"193,000","286,259","233,093","297,973","221,439","224,967","239,908","238,424","307,645",,,"216,068","245,878"
Nicodemus NHS,"3,448","2,681","3,505","3,241","3,374","3,306","3,552","2,916","2,738",,,"3,540","3,230"
Ninety Six NHS,"63,747","70,099","73,044","69,624","65,688","80,223","118,002","113,103","95,550",,,"97,295","84,638"
Niobrara NSR,"69,705","65,785","65,999","71,876","53,443","68,110","73,813","80,806","61,639",,,"60,812","67,199"
Noatak NPRES,"3,257","11,722","31,000","16,907",0,0,"17,000","17,000","16,387",,,"17,216","13,049"
North Cascades NP,"24,659","19,208","26,935","21,623","23,865","20,677","28,646","30,326","30,085",,,"38,208","26,423"
Obed W&SR,"180,203","212,458","212,446","198,367","215,767","214,441","231,390","214,783","217,530",,,"221,301","211,869"
Ocmulgee Mounds NHP,"109,413","122,722","120,025","115,801","122,799","155,388","162,260","156,907","133,008",,,"146,925","134,525"
Olympic NP,"2,844,563","2,966,502","2,824,908","3,085,340","3,243,872","3,263,761","3,390,221","3,401,996","3,104,455",,,"3,245,806","3,137,142"
Oregon Caves NM & PRES,"86,335","76,194","78,164","72,717","69,405","72,709","80,613","72,212","67,417",,,"65,006","74,077"
Organ Pipe Cactus NM,"209,602","211,405","161,743","206,860","224,548","222,723","234,186","260,534","260,375",,,"263,186","225,516"
Ozark NSR,"1,416,529","1,365,960","1,406,781","1,253,703","1,296,437","1,277,941","1,241,480","1,165,296","1,264,657",,,"1,221,489","1,291,027"
Padre Island NS,"612,716","542,873","573,855","515,830","578,815","582,839","634,012","650,197","616,033",,,"576,299","588,347"
Palo Alto Battlefield NHP,"26,865","24,752","36,707","32,522","41,516","47,866","58,556","84,361","82,488",,,"149,733","58,537"
Paterson Great Falls NHP,,,,,,,"177,498","308,199","143,604",,,"276,985","226,572"
Pea Ridge NMP,"115,128","114,234","131,907","95,251","104,686","114,578","119,490","121,163","101,969",,,"102,753","112,116"
Pearl Harbor NMEM,"1,372,724","1,694,896","1,751,224","1,786,024","1,620,814","1,574,156","1,819,020","1,947,495","1,779,143",,,"1,716,535","1,706,203"
Pecos NHP,"33,864","43,873","45,568","32,386","38,256","30,229","39,715","40,650","39,129",,,"43,834","38,750"
Pennsylvania Avenue NHS,"262,030","236,136","283,232","257,831","54,035",0,0,"108,716","119,616",,,"125,035","144,663"
Perry's Victory & Intl. Peace MEM,"92,944","93,119","140,281","158,231","129,440","156,578","142,152","84,769","150,557",,,"121,325","126,940"
Petersburg NB,"175,553","213,261","188,426","190,086","205,572","192,655","191,898","208,473","204,322",,,"235,691","200,594"
Petrified Forest NP,"664,725","614,054","664,857","644,648","836,799","793,225","643,274","627,757","644,922",,,"643,588","677,785"
Petroglyph NM,"105,643","114,428","119,444","115,075","115,859","117,825","124,177","141,803","268,613",,,"293,957","151,682"
Pictured Rocks NL,"499,281","561,104","593,587","575,450","527,897","723,178","777,428","781,190","815,308",,,"858,715","671,314"
Pinnacles NP,"246,575","393,219","224,476","237,677","196,635","206,533","215,555","233,334","222,152",,,"177,224","235,338"
Pipe Spring NM,"59,952","57,360","54,692","51,118","56,484","54,619","46,710","29,065","25,179",,,"27,482","46,266"
Pipestone NM,"78,108","61,908","76,030","64,760","62,151","70,748","67,489","76,486","73,267",,,"77,508","70,846"
Piscataway Park,"248,314","279,060","124,107","161,999","109,473","148,729","123,381","154,011","146,364",,,"329,729","182,517"
Point Reyes NS,"2,067,271","2,129,116","2,412,663","2,641,808","2,433,944","2,501,106","2,438,442","2,456,669","2,397,722",,,"2,265,301","2,374,404"
Port Chicago Naval Magazine NMEM,984,545,533,596,786,963,"1,942","1,086",653,,,830,892
President W.J. Clinton Birthplace Home NHS,,"9,749","8,932","9,838","11,113","10,463","10,468","10,177","10,845",,,"8,758","10,038"
President's Park,"616,635","786,151","600,083","658,065","723,923","903,161","989,424","1,477,913","1,035,737",,,"715,911","850,700"
Prince William Forest Park,"386,521","379,535","280,325","309,298","315,072","312,109","344,435","360,540","313,629",,,"339,693","334,116"
Pu'uhonua o Honaunau NHP,"419,590","426,224","442,353","363,282","401,808","437,286","421,027","505,735","462,974",,,"414,410","429,469"
Pu'ukohola Heiau NHS,"129,886","133,306","134,403","125,645","134,734","139,586","138,565","147,259","145,585",,,"133,573","136,254"
Rainbow Bridge NM,"104,501","92,311","75,214","54,773","62,910","77,270","86,369","108,418","110,904",,,"115,108","88,778"
Redwood NP,"418,820","380,167","352,517","393,364","429,166","527,143","536,297","445,000","482,536",,,"504,722","446,973"
Richmond NBP,"130,415","139,376","156,952","151,240","179,552","184,175","208,969","224,014","199,344",,,"197,242","177,128"
Rio Grande W&SR,"1,103",873,694,703,321,120,463,399,330,,,324,533
River Raisin NBP,,"36,206","50,667","57,464","55,281","109,118","202,375","238,813","240,548",,,"226,354","135,203"
Rock Creek Park,"1,883,457","2,050,490","2,003,385","1,968,995","2,437,948","2,443,772","2,478,735","2,483,788","2,395,342",,,"2,416,232","2,256,214"
Rocky Mountain NP,"2,955,821","3,176,941","3,229,617","2,991,141","3,434,751","4,155,916","4,517,585","4,437,215","4,590,493",,,"4,670,053","3,815,953"
Roger Williams NMEM,"51,559","50,909","51,944","48,677","51,523","60,505","65,588","80,970","60,709",,,"59,419","58,180"
Rosie The Riveter WWII Home Front NHP,,,,"31,514","45,549","56,362","64,425","60,927","57,852",,,"50,404","52,433"
Ross Lake NRA,"682,736","728,353","742,200","725,917","710,612","772,579","905,418","759,656","892,044",,,"1,088,528","800,804"
Russell Cave NM,"23,374","20,717","20,954","20,456","18,530","19,430","24,649","24,377","21,620",,,"16,642","21,075"
Sagamore Hill NHS,"55,149","53,336","20,097","14,639","19,319","42,326","53,920","55,186","39,970",,,"36,738","39,068"
Saguaro NP,"717,614","610,045","634,286","678,261","673,572","753,446","820,426","964,760","957,405",,,"1,020,226","783,004"
Saint Croix Island IHS,,,,"10,709","11,588","12,557","13,857","11,872","12,001",,,"11,613","12,028"
Saint Croix NSR,"188,400","273,729","221,028","342,942","671,582","623,122","708,258","772,475","724,644",,,"638,258","516,444"
Saint Paul's Church NHS,"16,362","14,926","16,188","14,016","16,460","17,180","20,830","21,190","21,630",,,"18,537","17,732"
Saint-Gaudens NHP,"30,941","32,695","33,663","37,837","37,785","39,242","42,377","37,556","35,218",,,"31,759","35,907"
Salem Maritime NHS,"806,506","737,073","756,038","426,328","403,758","264,780","371,989","373,630","300,475",,,"339,238","477,982"
Salinas Pueblo Missions NM,"32,941","29,786","29,228","24,836","30,537","29,672","32,414","35,148","34,629",,,"31,672","31,086"
Salt River Bay NHP & Ecological Pres,204,"2,419","5,217","4,791","5,192","8,108","16,449","10,567","4,884",,,"5,215","6,305"
San Antonio Missions NHP,"1,304,690","568,021","614,810","521,705","1,395,337","1,322,154","1,358,911","1,381,383","1,208,104",,,"1,281,121","1,095,624"
San Francisco Maritime NHP,"4,130,970","4,224,897","4,129,983","4,154,455","4,256,888","4,173,014","4,334,752","4,493,519","4,223,542",,,"4,016,598","4,213,862"
San Juan Island NHP,"263,370","266,717","261,139","220,960","268,946","258,668","316,122","267,209","255,032",,,"292,507","267,067"
San Juan NHS,"1,105,252","1,229,590","1,279,814","1,328,802","1,382,906","1,532,818","1,456,553","1,188,780","910,405",,,"1,197,345","1,261,227"
Sand Creek Massacre NHS,"4,063","3,935","4,384","4,795","7,402","5,887","6,847","6,535","6,006",,,"5,701","5,556"
Santa Monica Mountains NRA,"568,371","609,636","649,471","633,054","694,714","797,126","906,606","897,593","867,154",,,"707,566","733,129"
Saratoga NHP,"63,719","65,043","57,688","54,364","58,773","65,010","102,808","97,781","135,444",,,"145,118","84,575"
Saugus Iron Works NHS,"10,775","11,121","11,611","8,154","11,181","9,327","11,159","12,256","10,660",,,"8,150","10,439"
Scotts Bluff NM,"133,795","128,811","122,515","108,127","119,159","131,122","130,085","152,560","142,028",,,"166,007","133,421"
Sequoia NP,"1,002,979","1,006,583","1,106,584","909,274","1,039,137","1,097,464","1,254,688","1,291,256","1,229,594",,,"1,246,053","1,118,361"
Shenandoah NP,"1,253,386","1,209,883","1,210,200","1,136,505","1,255,321","1,321,873","1,437,341","1,458,874","1,264,880",,,"1,425,507","1,297,377"
Shiloh NMP,"317,046","387,816","587,620","536,206","409,086","356,535","421,862","435,107","376,099",,,"360,989","418,837"
Sitka NHP,"189,176","186,864","195,157","161,157","157,297","185,150","217,141","194,880","197,017",,,"232,876","191,672"
Sleeping Bear Dunes NL,"1,280,932","1,348,304","1,531,560","1,340,007","1,395,401","1,535,633","1,683,553","1,678,126","1,643,600",,,"1,570,001","1,500,712"
Springfield Armory NHS,"16,876","16,161","16,978","17,782","20,595","21,825","22,434","25,109","20,104",,,"20,979","19,884"
Statue of Liberty NM,"3,833,288","3,749,982","3,029,443","1,883,544","4,198,815","4,279,020","4,501,547","4,441,988","4,335,431",,,"4,240,461","3,849,352"
Steamtown NHS,"104,855","111,725","106,309","81,174","84,257","89,592","99,660","103,956","97,950",,,"105,403","98,488"
Stones River NB,"187,559","187,208","260,537","258,242","272,499","264,925","346,213","230,562","266,503",,,"284,516","255,876"
Stonewall NM,,,,,,,,"106,791","511,220",,,"2,088,929","902,313"
Sunset Crater Volcano NM,"158,819","185,265","177,793","184,864","176,723","182,203","60,233","119,454","104,583",,,"108,379","145,832"
Tallgrass Prairie NPRES,"22,047","17,893","18,918","16,128","17,776","29,558","29,378","30,773","27,715",,,"33,750","24,394"
Thaddeus Kosciuszko NMEM,"2,888","1,949","2,045","1,682","1,475","1,261","2,794","2,293","2,077",,,"1,921","2,039"
Theodore Roosevelt Birthplace NHS,"15,029","6,537","17,930","18,676","21,065","6,685","6,582","24,884","23,155",,,"25,978","16,652"
Theodore Roosevelt Inaugural NHS,"17,491","17,107","18,875","19,198","22,025","24,896","29,199","28,585","27,508",,,"26,994","23,188"
Theodore Roosevelt Island,"116,035","137,690","149,754","162,599","146,500","159,740","164,360","168,195","151,500",,,"151,500","150,787"
Theodore Roosevelt NP,"623,748","563,407","640,555","545,090","559,580","580,033","753,880","708,003","749,389",,,"691,658","641,534"
Thomas Edison NHP,"63,009","55,284","52,554","46,677","51,344","56,317","57,694","59,323","47,297",,,"42,224","53,172"
Thomas Jefferson MEM,"2,305,856","1,945,696","2,613,131","2,609,463","2,708,607","3,102,442","3,414,345","3,366,571","3,198,859",,,"3,096,895","2,836,187"
Thomas Stone NHS,"6,004","6,351","6,426","6,013","5,843","5,772","10,652","10,250","8,254",,,"8,020","7,359"
Timpanogos Cave NM,"120,241","96,965","118,764","91,269","95,679","104,023","91,261","100,740","121,311",,,"103,512","104,377"
Timucuan EHP,"993,948","1,028,922","1,076,310","1,031,667","1,121,318","1,239,423","1,148,494","1,218,306","1,134,857",,,"1,205,065","1,119,831"
Tonto NM,"60,497","53,426","51,881","39,632","36,360","37,523","38,048","40,898","39,822",,,"28,853","42,694"
Tumacacori NHP,"39,866","33,740","35,158","31,433","38,017","42,146","43,829","46,308","40,810",,,"39,704","39,101"
Tuskegee Airmen NHS,"60,827","16,244","23,716","19,301","24,319","22,662","31,133","39,322","26,829",,,"30,097","29,445"
Tuskegee Institute NHS,"23,230","23,288","24,030","47,766","11,786","7,961","8,452","20,407","37,486",,,"36,395","24,080"
Tuzigoot NM,"103,274","101,104","97,388","85,746","74,903","95,065","104,604","109,388","98,090",,,"98,538","96,810"
Ulysses S. Grant NHS,"39,967","35,664","39,373","38,604","40,287","39,048","46,071","59,761","43,602",,,"39,449","42,183"
Upper Delaware S&RR,"306,468","270,390","255,586","228,464","230,845","243,246","264,362","253,537","220,966",,,"215,537","248,940"
Valley Forge NHP,"1,617,511","1,303,046","1,442,750","1,962,889","1,990,881","2,143,965","2,428,724","2,159,592","1,881,362",,,"2,259,944","1,919,066"
Vanderbilt Mansion NHS,"390,525","367,680","423,107","372,569","398,447","431,961","387,856","360,436","340,870",,,"326,822","380,027"
Vicksburg NMP,"581,459","796,035","573,262","573,838","550,874","532,444","508,914","475,074","474,387",,,"576,456","564,274"
Vietnam Veterans MEM,"4,555,371","4,020,127","4,424,407","4,142,721","4,403,467","5,597,077","5,299,713","5,072,589","4,719,148",,,"4,580,587","4,681,521"
Virgin Islands NP,"493,477","442,414","483,341","438,601","426,930","438,372","411,343","304,408","112,287",,,"133,398","368,457"
Voyageurs NP,"253,891","177,184","214,841","233,390","239,160","238,313","241,912","237,250","239,656",,,"232,974","230,857"
Waco Mammoth NM,,,,,,"20,551","69,510","101,792","106,932",,,"111,331","82,023"
Walnut Canyon NM,"126,552","125,003","110,748","125,267","135,230","153,322","152,444","165,134","167,736",,,"152,333","141,377"
War in the Pacific NHP,"219,349","482,391","255,923","266,267","266,191","322,463","488,988","384,610","387,856",,,"432,213","350,625"
Washington Monument,"628,665","430,153",0,0,"423,170","493,550","252,677",0,0,,,"108,410","233,663"
Washita Battlefield NHS,"12,552","10,995","10,615","8,434","13,186","12,067","12,312","11,831","13,437",,,"9,119","11,455"
Weir Farm NHS,"19,313","22,415","21,465","22,862","34,082","47,220","39,079","38,096","35,382",,,"38,700","31,861"
Whiskeytown NRA,"788,065","761,710","814,374","776,025","851,901","843,845","875,565","832,063","585,768",,,"687,159","781,648"
White House,"922,335","570,057","656,949","231,627","569,391","526,263","611,207","439,725","485,974",,,"454,117","546,765"
White Sands NP,"470,921","428,924","447,385","490,544","503,660","497,506","555,793","612,468","603,008",,,"608,785","521,899"
Whitman Mission NHS,"58,521","57,611","60,785","57,686","58,499","39,525","50,148","47,757","49,274",,,"48,481","52,829"
William Howard Taft NHS,"21,163","21,141","19,416","21,102","23,609","24,385","30,723","37,425","30,202",,,"32,396","26,156"
Wilson's Creek NB,"185,200","192,865","167,205","157,309","161,058","161,004","183,698","206,346","220,276",,,"232,838","186,780"
Wind Cave NP,"577,141","538,394","529,083","516,142","547,022","612,198","617,377","619,924","656,397",,,"615,350","582,903"
Wolf Trap NP for the Performing Arts,"520,397","425,177","426,996","441,166","388,283","407,351","437,513","424,364","365,540",,,"402,580","423,937"
Women's Rights NHP,"22,662","25,426","29,585","30,137","30,254","38,139","52,683","61,806","42,784",,,"39,064","37,254"
World War II Memorial,"3,964,351","3,752,172","4,161,685","3,934,166","4,230,793","5,068,224","4,856,532","4,876,842","4,652,865",,,"4,831,327","4,432,896"
Wrangell-St. Elias NP & PRES,"73,170","65,225","87,158","69,984","74,722","80,366","79,047","68,292","79,450",,,"74,518","75,193"
Wright Brothers NMEM,"476,200","445,455","466,816","447,796","430,517","437,184","458,776","414,244","360,669",,,"400,135","433,779"
Wupatki NM,"221,083","216,165","201,365","190,878","195,962","212,828","223,172","236,454","205,122",,,"187,059","209,009"
Yellowstone NP,"3,640,185","3,394,326","3,447,729","3,188,030","3,513,484","4,097,710","4,257,177","4,116,524","4,115,000",,,"4,020,288","3,779,045"
Yosemite NP,"3,901,408","3,951,393","3,853,404","3,691,191","3,882,642","4,150,217","5,028,868","4,336,890","4,009,436",,,"4,422,861","4,122,831"
Yukon-Charley Rivers NPRES,"6,211","1,718","1,393","3,914","2,329","1,133","1,146",952,"1,272",,,"1,114","2,118"
Zion NP,"2,665,972","2,825,505","2,973,607","2,807,387","3,189,696","3,648,846","4,295,127","4,504,812","4,320,033",,,"4,488,268","3,571,925"
